FUNCTIONAL_CLASS_026,Urban,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,ADT_029,YEAR_ADT_030,APPR_WIDTH_MT_032,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,OPERATING_RATING_064,INVENTORY_RATING_066,APPR_ROAD_EVAL_072,TRAFFIC_DIRECTION_102,YEAR_RECONSTRUCTED_106,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,LOWEST_RATING,DECK_AREASQMTS,Latitude,Longitude,PPTIN,TMAXC,TMINC,pc250,scour_critical,waterway_eval,struc_eval,channel_cond,culvert_cond
7,0,1990,2,240,1989,8.5,3,9.8,0,0,29,17.2,8,2,0,1,0,293,2009,7,83.3,35.041919,-94.11353,79.9427032,22.7970009,9.6617804,0.111479,8,8,5,6,1
7,0,2014,2,73,1987,7.3,3,9.6,0,0,29.9,18.1,6,2,0,1,0,93,2007,8,70.08,36.014799,-91.234679,91.8507996,21.5821991,9.4644403,0.503825,8,8,5,7,1
19,1,2005,2,500,2005,7.9,7,6.8,7.9,12,54.4,32.7,6,2,0,1,0,648,2025,8,80.92,34.434749,-92.251696,98.8932037,22.9487,10.6507998,0.215037,8,8,8,6,1
7,0,1931,2,660,2014,9.1,3,9.1,0,0,39.9,23.6,7,2,0,12,0,894,2028,7,82.81,33.024531,-92.553036,126.6819992,24.0611992,10.8811998,0.101704,8,7,6,7,1
7,0,1977,2,41,1987,8.5,3,13.1,0,0,22.7,14.5,7,2,0,1,0,52,2007,7,111.35,36.234581,-91.104454,90.8648987,21.1103992,8.9105301,0.517656,8,9,4,6,1
7,0,1987,2,90,1986,9.8,3,6.4,0,0,39.9,23.6,8,2,0,1,0,122,2006,8,62.72,35.141564,-91.584089,90.6653976,22.0785999,10.4972,0.390617,8,8,6,7,1
6,0,1976,2,1350,2013,9.1,3,13.1,9.1,11,44.4,32.7,8,2,0,14,0,1890,2033,5,141.48,33.050194,-94.033884,96.6930008,24.2236996,11.2806997,0.0759375,8,6,5,7,0
7,0,1956,2,1900,2014,11,3,6.4,0,0,41.7,25.4,7,2,0,1,0,2496,2028,7,70.4,33.565294,-93.434321,96.7286987,23.5335007,10.8705997,0.100228,8,6,6,7,1
9,0,1939,2,100,2016,7.9,3,6.4,9.1,10,45.3,27.2,6,2,0,10,0,160,2036,7,62.72,36.172497,-94.484964,65.7398987,20.5275993,8.3538504,0.0980019,7,6,6,6,1
12,1,1979,4,9600,2014,23.2,3,12.2,0,0,39,23.6,8,2,0,1,1,11140,2028,6,283.04,33.111744,-92.404011,125.0419998,23.9606991,10.8708,0.108299,8,8,5,7,1
1,0,2004,2,22000,2014,14,5,14.2,0,0,41.7,24.5,8,2,0,8,1,27159,2028,7,198.8,35.294199,-94.143645,83.3383026,22.6331997,9.7403002,0.112599,8,8,6,6,1
7,0,1998,2,3500,2014,7.6,1,6.4,0,0,54.4,32.7,3,2,0,1,0,12,2028,4,48.64,36.013478,-94.001767,70.6707993,20.4267006,8.2124701,0.118539,8,9,4,7,0
7,0,1961,2,910,2013,8.5,4,11.7,0,0,38.1,22.7,8,2,0,1,0,1515,2033,7,99.45,35.31435,-92.260039,87.0931015,21.9051991,10.4729996,0.400107,8,7,6,6,1
7,0,1969,2,130,2014,8.5,3,6.7,0,0,29,17.2,7,2,0,1,0,103,2028,8,56.95,35.202328,-91.044399,91.751297,21.7520008,10.5216999,0.570803,8,8,5,8,1
1,0,1963,4,39000,2014,23.2,4,9.8,0,0,41.7,24.5,8,2,0,45,1,40106,2028,6,227.36,34.240449,-92.491153,98.0973969,23.1665993,10.0359001,0.179186,8,8,6,6,1
16,1,1930,2,9800,2014,10.4,3,6.4,0,0,41.7,25.4,8,2,0,1,0,13810,2028,7,66.56,34.570331,-92.031699,91.6463013,22.3726997,11.2825003,0.250213,8,8,6,7,1
7,0,1965,2,4000,2014,10.4,3,6.3,0,0,39.9,23.6,8,2,0,1,0,4913,2027,7,65.52,33.140036,-91.552825,124.8399963,24.1343994,11.4200001,0.130837,8,8,6,6,1
2,0,1948,2,3500,2014,16.2,3,9.8,0,0,39.9,23.6,8,2,0,23,1,4772,2028,7,158.76,33.244419,-93.470601,99.7369003,23.8509998,10.8076,0.0898776,8,6,6,7,1
19,1,1987,2,589,1987,6.7,3,9.8,6.6,7,53.5,31.7,8,2,0,1,0,762,2007,7,71.54,35.255257,-94.205223,87.2820969,22.5748005,9.66049,0.11025,8,8,7,8,1
2,0,1970,2,5700,2014,13.4,3,10.1,0,0,42.6,25.4,8,2,0,21,1,6278,2028,7,135.34,33.21536,-93.283651,99.2478027,23.8554001,10.9004002,0.0927786,8,6,6,6,1
7,0,1959,2,3354,2018,7.3,4,12.1,7.6,8,43.2,26.1,6,2,0,9,0,5031,2038,6,99.22,36.42427,-91.462892,77.5513992,20.7887001,7.6796198,0.411062,8,8,6,5,1
9,0,2010,2,146,1987,7.3,2,8.9,0,0,54.4,32.7,8,2,0,1,0,178,2007,8,64.97,34.521009,-94.16251,92.4039993,21.3344994,10.0056,0.103348,8,8,8,6,1
9,0,2004,2,120,1987,7.6,3,7.9,7.3,8,53.5,31.7,6,2,0,1,0,146,2007,7,61.62,34.48034,-94.13301,95.0472031,21.0874004,10.1522999,0.103598,8,6,7,7,1
7,0,1927,2,3100,2014,12.5,3,6.7,0,0,26.3,16.3,8,2,0,1,1,4811,2028,6,83.75,34.291557,-92.424215,94.8583984,23.1427002,9.9890699,0.188302,8,8,4,5,1
6,0,1928,2,1900,2014,12.2,3,6.7,0,0,41.7,25.4,8,2,1977,1,0,4226,2028,7,81.74,33.281895,-93.375415,99.7539978,23.8057003,10.9028997,0.092848,8,7,6,7,1
1,0,1966,4,28609,2014,11.6,2,8.5,0,0,47.2,28.1,8,2,0,48,1,36554,2028,7,98.6,34.542858,-91.12514,98.7922974,22.3978996,11.1584997,0.376365,8,8,7,5,1
1,0,1962,4,16600,2016,16.5,6,16.6,0,0,44.5,32.7,8,2,0,36,1,26560,2036,6,273.9,35.265484,-94.264277,85.0276031,22.6457005,9.7797804,0.108706,4,8,6,7,1
6,0,1970,2,5800,2014,8.5,3,10.1,0,0,26.3,16.3,6,2,0,1,0,6597,2028,5,85.85,35.043269,-92.331278,89.2863007,22.5244999,9.9358997,0.362996,8,8,4,7,0
7,0,2004,2,770,2014,10.1,5,10.9,0,0,32.7,20,8,2,0,1,0,1653,2028,7,110.09,35.264952,-92.240849,85.8659973,22.0935001,10.0931997,0.443894,8,8,5,6,1
1,0,1966,4,30000,2014,30.2,3,9.1,0,0,32.7,19,8,2,0,45,1,33637,2028,5,274.82,34.193971,-92.55291,101.4850006,23.2019997,10.0810003,0.171681,8,8,4,6,0
6,0,1956,2,5100,2014,8.5,3,6.7,0,0,35.4,21.8,8,2,0,1,0,5635,2028,6,56.95,34.320445,-92.331278,95.7331009,23.0401001,10.1806002,0.197517,8,8,5,5,1
7,0,1948,2,2600,2014,6.4,3,6.4,0,0,26.3,16.3,8,2,0,1,0,3405,2028,7,40.96,36.242957,-93.334115,69.4309006,20.2828007,8.3359499,0.163603,8,8,4,7,1
1,0,1965,4,25000,2014,30.2,2,8.5,0,0,42.6,25.4,8,2,0,38,1,34785,2028,7,256.7,35.243092,-93.224746,86.1473999,22.4109001,9.4603596,0.178494,8,8,6,7,1
2,0,1952,5,9000,2014,23.2,3,10.1,0,0,26.3,16.3,8,2,2006,12,1,9659,2028,8,234.32,34.23092,-92.223936,98.8710022,23.0902996,10.3737001,0.195118,8,8,4,7,1
2,0,1966,2,2800,2014,11.6,3,6.4,0,0,30.8,18.1,8,2,0,1,1,3737,2028,6,74.24,34.383955,-94.114004,96.0481033,21.2031994,9.7634802,0.102682,8,8,5,7,1
2,0,1930,5,7000,2014,17.7,3,6.4,0,0,41.7,25.4,8,2,2011,1,1,7453,2028,7,113.28,33.583306,-91.33162,125.5719986,23.4284,11.6204004,0.173047,8,8,6,8,1
7,0,1950,2,9300,2013,6.1,4,12.5,0,0,29,17.2,6,2,0,1,0,9500,2030,6,76.25,36.254968,-94.121621,68.5622025,20.1846008,8.0862703,0.110041,8,8,4,7,1
6,0,1987,2,4500,2014,8.5,2,7,16.3,17,40.8,24.5,8,2,0,1,0,6215,2028,7,117.6,34.484643,-91.524688,94.0600967,22.5634995,11.3532,0.29104,8,8,6,5,1
7,0,1974,2,890,2016,7.3,5,14.3,0,0,44.5,32.7,8,2,0,15,0,1424,2036,7,104.39,34.261275,-94.333695,91.4682007,22.0473003,9.7816601,0.0962094,8,8,7,6,1
19,1,2005,2,400,2002,6.4,2,8.2,0,0,50.8,30.8,8,2,0,1,0,564,2022,7,52.48,36.190244,-94.121193,68.4693985,20.3292007,8.3656101,0.110881,8,8,7,8,1
7,0,1986,2,370,2014,7.9,2,7.9,6.1,6,54.4,32.7,6,2,0,1,0,465,2028,7,48.19,33.141982,-92.513045,121.0839996,23.9536991,10.9335003,0.107266,8,7,7,6,1
2,0,2010,4,6200,2014,30.5,3,16.5,0,0,35.4,21.8,8,2,0,16,1,10800,2027,7,503.25,35.033787,-92.112144,91.3283005,22.2215004,10.6191998,0.451552,8,6,5,7,1
2,0,1987,4,26000,2014,18.3,3,12.2,0,0,49.9,29.9,9,2,0,1,1,36253,2028,7,223.26,35.095541,-92.235184,88.7337036,22.2849998,10.2398005,0.465634,8,8,7,7,1
7,0,1980,2,300,2016,9.1,2,8.8,0,0,47,28.2,7,2,0,15,0,480,2036,6,80.08,35.354996,-94.335179,73.1785965,22.6842003,9.9677,0.107225,5,7,6,7,1
6,0,1956,2,690,2014,8.5,5,14,0,0,41.7,25.4,8,2,0,1,0,1071,2028,6,119,34.313516,-94.021395,97.9502029,21.9694004,9.5918903,0.104243,8,6,6,7,1
7,0,1956,2,502,2018,7.3,2,7.1,7.9,8,45.9,27.9,6,2,0,4,0,1054,2038,6,60.35,36.440611,-93.073478,64.5357971,20.7800007,7.30933,0.179189,5,6,6,5,1
1,0,1970,4,20000,2013,23.2,4,7.3,0,0,39.9,23.6,8,2,0,1,1,29430,2028,6,169.36,35.314,-94.015451,82.3729019,22.6019993,9.7347898,0.118035,8,6,5,6,1
17,1,1974,2,2500,1987,11.3,3,10.1,0,0,27.2,16.3,8,2,0,1,0,3295,2007,6,114.13,35.2042,-94.1936,87.7813034,22.6196995,9.7626696,0.110257,8,8,4,6,1
11,1,2008,4,0,2014,24.4,4,11.9,0,0,39,23.6,8,2,0,20,1,9665,2026,7,290.36,33.310217,-94.02133,93.0410004,23.9944992,10.8674002,0.081121,8,8,5,7,1
2,0,2012,4,11000,2014,21.9,3,8.2,0,0,41.7,25.4,9,2,0,13,1,16750,2030,6,179.58,36.07428,-93.50398,73.9035034,20.1886005,8.6465797,0.15237,8,9,6,9,1
16,1,2010,5,1000,2010,7.7,3,6.4,0,0,41.7,25.4,8,2,0,1,0,1200,2030,8,49.28,34.45392,-92.274159,99.6343994,22.9484997,10.6433001,0.215855,8,8,6,8,1
7,0,1986,2,100,2016,7.3,2,9.4,7.3,9,29.1,17.4,6,2,0,15,0,160,2036,3,85.54,35.255146,-94.385619,78.4297028,22.7348003,9.8856802,0.105345,4,4,3,7,0
6,0,1952,2,3000,2014,8.5,3,7.9,0,0,50.8,30.8,8,2,0,1,0,5215,2028,5,67.15,35.334366,-91.003582,90.4353027,21.6322002,10.4789,0.653768,8,9,5,5,0
6,0,1929,2,6400,2016,9.1,3,8.8,0,0,41.7,25.4,8,2,1996,3,0,7600,2036,6,80.08,34.241306,-93.05331,94.6405029,23.2576008,9.9990997,0.148381,8,8,6,5,1
19,1,2003,2,536,1987,7.6,3,6.9,0,0,29,17.2,8,2,0,1,0,669,2007,8,52.44,33.374123,-91.554672,122.564003,23.7343998,11.4048996,0.147251,8,8,4,7,1
6,0,1930,2,9000,2014,8.5,3,9.8,0,0,28.1,17.2,8,2,0,9,1,11000,2032,7,83.3,36.200838,-93.263455,74.0320969,19.5300999,8.7876797,0.171227,8,8,4,7,1
7,0,1931,2,660,2014,9.1,3,9.1,0,0,39.9,23.6,7,2,0,12,0,894,2028,7,82.81,33.024531,-92.553036,126.6819992,24.0611992,10.8811998,0.101704,8,7,6,7,1
8,0,2008,2,100,1984,7.3,2,11,7.2,8,54.4,32.7,4,2,0,1,0,120,2004,7,93.5,35.182049,-94.141169,84.091301,22.4855003,9.7490101,0.111859,8,4,7,7,1
7,0,1992,2,3800,2014,12.2,2,10.1,0,0,36.3,21.8,8,2,0,1,0,5045,2028,6,123.22,33.195509,-93.160523,102.1080017,23.8698997,10.9976997,0.0946707,8,6,5,7,1
11,1,1982,6,80000,2014,28.7,6,32.9,0,0,39,23.6,8,2,0,1,1,93079,2028,6,944.23,36.19067,-94.110549,68.5459976,20.3216991,8.3650103,0.111365,8,8,5,6,1
6,0,1950,2,1100,2014,9.4,5,9.1,0,0,39.9,23.6,8,2,0,1,0,1423,2028,6,85.54,35.395457,-94.244193,77.6781006,22.7192993,9.9094496,0.109689,8,8,6,7,1
14,1,1928,2,5600,2014,11,3,6.7,9.8,10,26.3,16.3,7,2,0,1,0,4125,2028,6,65.66,33.350996,-92.520397,112.1399994,23.7859001,10.323,0.116912,8,7,4,6,1
7,0,1966,2,960,2016,7,3,9.8,0,0,41.4,24.9,8,2,0,15,0,1536,2036,6,68.6,36.400421,-94.390471,66.8923035,20.6238995,8.0860395,0.0978352,4,5,6,5,1
6,0,2018,2,3500,2016,9.4,4,23.8,0,0,54.4,32.7,8,2,0,9,0,4900,2036,8,223.72,36.113382,-92.404259,78.7501984,21.0926991,8.0912704,0.255214,8,9,8,8,1
16,1,1946,2,11300,2016,14,4,14.3,0,0,43.8,26.3,8,2,0,5,0,18080,2036,6,200.2,36.353629,-94.455981,66.6269989,20.7108994,8.1633301,0.0964413,8,7,6,8,1
7,0,1987,2,850,2014,6.7,2,7,0,0,27.2,16.3,7,2,0,1,0,905,2028,8,46.9,34.140402,-93.043789,92.7220993,23.4890995,10.0892,0.14324,8,7,4,7,1
2,0,1935,2,4400,2016,9.8,3,10.4,9.8,12,48.7,29.2,8,2,0,16,0,7040,2036,6,123.76,35.46455,-94.373302,76.2384033,22.4934006,9.7900496,0.106482,5,8,6,7,1
6,0,1930,2,2500,2014,10.4,3,6.7,13.1,13,35.4,21.8,8,2,0,1,1,3604,2027,7,89.11,33.074659,-93.111978,111.072998,24.0312004,10.9998999,0.0920945,8,6,5,7,1
12,1,1993,6,39000,2014,32.3,2,8.5,0,0,49.9,29.9,8,2,0,1,1,44690,2028,7,274.55,34.274604,-93.015206,93.8237,23.1313992,9.9459896,0.152144,8,8,7,6,1
6,0,1952,2,960,2014,11.6,3,9.8,0,0,29.9,18.1,8,2,0,1,0,2415,2028,7,113.68,33.03328,-93.395246,102.1900024,24.0743999,11.3783998,0.0855878,8,6,5,6,1
9,0,1998,1,176,1987,6.7,3,6.7,3.7,5,41.7,25.4,8,3,0,1,0,208,2007,8,32.83,34.525354,-91.10152,99.4274979,22.3974991,11.1492004,0.375933,8,7,6,6,1
9,0,1983,2,100,2016,7.3,4,8.2,8.8,9,44.5,32.7,8,2,0,10,0,120,2036,8,77.08,35.144446,-94.390047,80.9666977,22.7700996,9.7163897,0.104974,8,4,8,5,1
8,0,1994,2,3600,2014,8.5,2,8.5,0,0,39.9,23.6,8,2,0,1,0,3385,2028,7,72.25,36.194625,-94.181226,67.5201035,20.3260002,8.2285299,0.108093,8,9,6,8,1
7,0,1951,2,855,2018,6.7,3,6.3,6.7,7,45,27,6,2,0,11,0,1795,2038,6,45.99,36.335204,-92.594879,79.7647018,21.0960999,7.7066898,0.225535,5,6,6,5,1
7,0,1943,2,75,1987,6.1,3,7,6.6,7,32.7,19,5,2,0,1,0,99,2007,6,51.1,35.351151,-91.250331,90.4336014,21.7514,10.4412003,0.504427,8,5,5,6,1
7,0,1940,2,900,2014,7.6,1,7.9,0,0,33.6,20,7,2,0,1,0,1165,2028,5,60.04,35.19166,-91.372611,90.4466019,21.9265003,10.4841003,0.441798,8,7,5,6,0
19,1,2016,2,350,1987,11.7,4,14.4,11.7,23,49,32.7,7,2,0,1,0,454,2007,7,335.52,36.195505,-94.061403,68.4529037,20.2759991,8.21945,0.113626,8,8,7,8,1
14,1,1941,4,16230,2013,15.2,2,9.4,15.4,25,22.7,17,8,2,1954,3,0,22730,2033,6,235,33.260611,-94.032408,92.8544006,24.0737,10.6632996,0.079909,8,6,4,6,1
7,0,1963,2,465,2017,7.3,3,9,9.1,10,55.8,33.3,6,2,0,12,0,651,2037,7,88.2,36.303346,-91.18449,86.6062012,21.1049004,8.4195995,0.49121,7,6,7,6,1
7,0,1966,2,1700,2014,7.3,4,7.3,0,0,39.9,23.6,8,2,0,1,0,1993,2028,7,53.29,36.045077,-92.590502,77.9437027,21.3204994,7.65659,0.238919,8,8,6,7,1
9,0,2004,2,95,1987,7.3,3,9.1,0,0,54.4,32.7,5,2,0,1,0,119,2007,7,66.43,33.344565,-91.481814,123.0350037,23.8551006,11.4573002,0.147047,8,8,7,7,1
17,1,1967,2,1900,2014,6.7,3,6.4,0,0,41.7,25.4,8,2,0,1,0,2672,2028,6,42.88,36.015073,-94.112893,70.5049973,20.3082008,8.3646402,0.113101,8,7,6,6,1
7,0,1972,2,1300,2014,7,3,6.4,0,0,49.9,29.9,8,2,0,1,0,1536,2028,6,44.8,35.282333,-92.1303,87.0342026,21.8946991,10.3346004,0.471007,8,8,6,7,1
7,0,1991,2,2700,2014,12.2,4,14.9,0,0,53.5,31.7,8,2,0,1,0,3467,2028,7,181.78,36.200536,-92.240876,79.0283966,21.3435993,7.8692398,0.271994,8,8,7,7,1
6,0,1987,2,1500,2014,12.2,3,13.4,0,0,29.9,18.1,8,2,0,1,0,1617,2028,7,163.48,33.505524,-94.035493,91.8995972,23.8603001,11.1124001,0.0852019,8,7,5,7,1
2,0,1969,4,4800,2014,18.3,4,11.9,0,0,31.7,19,8,2,0,27,1,6399,2028,7,217.77,33.211869,-93.342563,100.1090012,23.9074993,10.8701,0.0915509,8,6,5,6,1
19,1,1990,2,100,1987,7.9,3,16.5,8,11,39.9,23.6,8,2,0,1,0,130,2007,7,186.45,34.475802,-92.253439,98.3929977,22.8631992,10.7283001,0.220154,8,8,6,5,1
2,0,1957,2,870,2016,9.8,4,14.8,12.2,13,44.5,32.7,8,2,0,16,0,1392,2036,7,189.44,34.432723,-94.340188,89.5626984,21.6126995,9.6514502,0.09851,8,8,7,7,1
7,0,1975,2,300,2008,8.5,4,11.3,0,0,32.7,20,8,2,0,1,0,575,2028,6,96.05,35.311487,-93.422012,84.6243973,22.4860001,9.5954304,0.159413,8,8,5,8,1
7,0,1957,2,2475,2017,9.1,4,8.1,13.3,14,46.8,27.9,8,2,0,13,0,4083,2037,5,112.59,36.303072,-93.400817,67.2121964,20.3218994,8.1694899,0.156391,8,8,5,5,0
7,0,2011,2,500,2011,6.7,4,8.3,9.3,10,35.4,21.8,7,2,0,1,0,550,2031,9,82.17,34.36041,-92.245976,98.0245972,23.0422993,10.4520998,0.207423,8,6,6,7,1
7,0,1986,2,370,2014,7.9,2,7.9,6.1,6,54.4,32.7,6,2,0,1,0,465,2028,7,48.19,33.141982,-92.513045,121.0839996,23.9536991,10.9335003,0.107266,8,7,7,6,1
19,1,2011,3,150,2011,10.7,4,23.5,0,0,35.4,21.8,9,2,0,1,0,165,2031,7,251.45,35.170759,-93.061704,83.9468002,22.8243999,9.43046,0.196481,8,8,6,7,1
8,0,1994,2,38,1987,5.8,3,14.1,0,0,38.1,22.7,4,2,2017,1,0,46,2007,8,81.78,33.28049,-93.365577,99.6605988,23.8003998,10.9101,0.0930127,8,5,6,7,1
7,0,1950,2,3104,2017,7.3,4,11.6,8.2,9,79.2,46.8,6,2,0,7,0,4656,2037,6,102.08,36.423173,-91.510359,76.8981018,21.0084991,7.7895002,0.399769,8,8,6,6,1
7,0,2007,2,780,2016,12.2,4,8.9,12.1,13,39.1,32.7,8,2,0,22,0,1248,2036,8,113.92,34.522381,-94.322729,90.6192017,21.5900993,9.6087599,0.100067,8,9,8,7,1
2,0,2007,4,12000,2014,22.9,2,7.9,0,0,47.2,28.1,8,2,0,14,1,13745,2028,7,180.91,36.013673,-90.555556,87.6819992,21.0823994,9.8948402,0.789549,8,9,7,7,1
7,0,1977,2,210,1987,8.5,2,8.2,15.8,16,47.2,28.1,8,2,0,1,0,254,2007,7,130.38,33.510392,-92.330018,114.8030014,23.6884995,10.2465,0.132239,8,6,7,6,1
2,0,1927,2,870,2016,9.8,3,7,12.8,13,48.7,29.2,8,2,1957,16,0,1392,2036,7,93.8,34.422885,-94.324109,89.6676025,21.5023994,9.7085199,0.0986222,8,8,7,7,1
7,0,1963,2,465,2017,7.3,3,9,9.1,10,55.8,33.3,6,2,0,12,0,651,2037,7,88.2,36.303346,-91.18449,86.6062012,21.1049004,8.4195995,0.49121,7,6,7,6,1
8,0,1962,2,690,2014,6.1,3,6.4,0,0,26.3,16.3,7,2,0,1,0,1124,2028,6,39.04,35.321923,-93.481541,84.3808975,22.4006996,9.6339302,0.154092,8,8,4,6,1
2,0,2013,3,3800,2014,15.8,2,7,0,0,36.3,21.8,9,2,0,11,1,8000,2030,8,110.6,34.310392,-93.182497,96.4087982,22.8668003,9.7186899,0.145018,8,8,5,6,1
14,1,1990,6,42000,2014,36.6,2,10.1,0,0,33.6,20,8,2,0,1,1,51262,2028,6,369.66,34.283086,-93.065311,95.1685028,23.0669003,9.8945398,0.149902,8,8,5,5,1
7,0,1936,2,76,1987,7.3,2,8.5,6.1,7,33.6,20,8,2,0,1,0,102,2007,7,56.95,35.404328,-93.302097,85.1643982,22.1835003,9.4970198,0.174031,8,7,5,7,1
12,1,1960,6,77000,2014,23.2,3,6.7,36.7,49,29.9,18.1,8,2,0,8,1,101000,2033,5,326.96,34.512019,-92.080794,93.4832001,22.5275002,11.0682001,0.237465,8,7,4,6,0
16,1,1978,2,300,1987,7.6,3,13.1,9.9,10,35.4,21.8,8,2,0,1,0,423,2007,6,137.55,36.24279,-94.125209,68.5512009,20.2108994,8.1461401,0.110036,8,8,6,6,1
9,0,2017,2,103,1987,6.4,3,6.9,0,12,54.4,32.7,8,2,0,1,0,125,2037,9,84.18,33.475935,-92.130328,117.3659973,23.5056992,10.5416002,0.136766,5,7,9,8,1
16,1,1942,2,14653,2018,12.2,4,10,0,0,35.1,20.7,8,2,1984,10,0,24177,2038,6,122,36.494436,-94.234007,64.0822983,20.2500992,7.77175,0.102051,8,9,5,6,1
9,0,2010,2,100,2010,6.2,3,13.4,6.1,6,26.3,16.3,6,2,0,1,0,115,2030,7,83.08,34.352361,-92.574121,96.6100998,23.1809006,10.0644999,0.183787,8,6,5,7,1
6,0,1968,2,2248,2017,10.4,4,12.3,13.9,14,69.3,41.4,6,2,0,22,0,3372,2037,6,178.35,36.311058,-91.3014,83.3701019,21.1035995,8.1675997,0.463193,5,8,6,5,1
7,0,1965,2,6100,2014,11.9,3,6.4,0,0,35.4,21.8,8,2,0,1,0,6710,2028,7,76.16,35.51271,-90.471848,94.4385986,21.5550995,10.1777,1.8041101,8,8,5,7,1
16,1,1988,2,12155,2017,13.4,2,6.6,0,0,87.3,52.2,8,2,2001,6,0,19448,2037,7,88.44,36.460053,-90.253157,82.7152023,20.7929001,9.0779696,0.915523,8,8,7,5,1
6,0,1950,2,200,2014,7.3,3,7.3,0,0,37.2,22.7,6,2,0,1,0,225,2035,5,53.29,35.174891,-94.185343,85.2584991,22.5142994,9.80476,0.110321,8,6,5,8,0
7,0,1993,2,660,2014,10.4,4,7.3,0,0,35.4,21.8,8,2,0,1,0,699,2028,6,75.92,36.163568,-90.39577,86.1716003,21.1679993,9.85956,0.827117,8,8,5,7,1
9,0,1936,2,92,1987,8.5,2,8.2,8,9,54.4,32.7,8,2,0,1,0,111,2007,7,70.52,33.4851,-93.0252,101.3570023,23.6728001,10.6106997,0.108541,8,6,7,7,1
7,0,2002,2,170,2014,10.4,7,23.5,0,0,54.4,32.7,7,2,0,1,0,277,2028,8,244.4,35.501453,-91.451436,91.0579987,21.0042,10.4913998,0.448975,8,8,8,7,1
2,0,1926,2,3800,2016,9.8,3,7,9.8,12,54.4,32.7,8,2,0,16,0,6080,2036,6,83.3,35.553461,-94.365059,78.7975006,21.618,9.0115995,0.106676,4,7,6,7,1
6,0,1948,2,1100,2014,6.7,3,6.7,0,0,41.7,25.4,8,2,0,1,1,1350,2033,7,44.89,33.020333,-91.354861,131.0650024,23.9755001,11.6952,0.126627,8,8,6,7,1
19,1,2010,5,4000,2010,18.3,3,8.5,0,0,27.2,16.3,7,2,0,2,0,4500,2030,8,155.55,36.215176,-94.133601,68.4408035,20.2912998,8.2894897,0.110002,8,8,4,8,1
14,1,1972,2,33000,2014,9.8,2,7.9,0,0,47.2,28.1,8,2,2004,2,0,43504,2028,7,77.42,35.041318,-92.27401,89.2292023,22.3999004,10.1443005,0.401298,8,7,7,7,1
19,1,2006,2,750,2010,7.9,4,10.1,0,0,35.4,21.8,6,2,0,1,0,800,2030,7,79.79,36.175769,-94.124259,68.3003998,20.3488007,8.3631601,0.110922,8,8,5,7,1
9,0,1999,1,106,1987,5.5,2,10.4,9.1,9,38.1,22.7,6,3,0,1,0,130,2007,8,94.64,33.094789,-92.531641,123.4319992,24.0156002,10.9328003,0.104981,8,7,6,7,1
9,0,2005,2,1550,1987,7.6,3,9.8,0,0,54.4,32.7,8,2,0,1,0,1990,2007,8,74.48,36.202417,-92.221091,79.4125977,21.3209,7.9055099,0.274846,8,8,8,7,1
7,0,1986,2,840,2014,10.4,3,9.8,0,0,29.9,18.1,8,2,0,1,0,1132,2028,7,101.92,34.000489,-94.152991,91.3902969,23.4202995,9.8769102,0.0945239,8,6,5,6,1
16,1,2008,5,17000,2014,17.7,3,9.1,0,0,32.7,19,8,2,0,1,0,19797,2027,7,161.07,35.170596,-93.062451,83.9558029,22.8260002,9.4325104,0.196371,8,8,4,7,1
1,0,1969,1,38963,2012,7.6,2,7.6,0,0,40.8,24.5,8,1,0,1,0,2200,2028,6,57.76,34.370202,-92.161459,97.8462982,22.9167995,10.7521,0.214085,8,8,6,5,1
9,0,1997,2,24,1987,4.9,3,6.4,0,0,54.4,32.7,5,2,0,0,0,30,2007,7,31.36,36.072995,-90.593387,85.5919037,20.8941994,9.7865601,0.724371,8,6,7,6,1
7,0,1966,2,290,2014,6.1,3,9.8,0,0,28.1,17.2,7,2,0,1,0,393,2028,7,59.78,34.391587,-93.38106,90.9328003,22.6021996,9.4380903,0.137577,8,7,5,7,1
16,1,1991,2,500,1990,14,4,7.9,0,0,31.7,19,8,2,0,1,0,648,2010,7,110.6,34.52171,-92.09317,93.3183975,22.5284996,11.0629997,0.237797,8,8,5,6,1
8,0,1935,2,263,2017,7.3,3,8.8,8.4,9,36,21.6,6,2,0,12,0,368,2037,6,79.2,36.304337,-91.133268,87.6311035,21.1179008,8.6645603,0.503798,5,6,6,5,1
7,0,1951,2,700,2014,8.5,4,11.9,0,0,31.7,19,8,2,0,1,0,660,2028,7,101.15,34.592342,-92.523251,94.6149979,22.8525009,10.4742002,0.212267,8,7,5,7,1
6,0,1993,2,3000,2014,12.2,3,6.4,0,0,35.4,21.8,7,2,0,1,0,3377,2028,8,78.08,33.571008,-93.531463,96.5749969,23.4575996,10.8203001,0.0979084,8,7,5,7,1
2,0,1934,2,8400,2014,13.4,3,6.7,0,0,41.7,25.4,8,2,1969,9,0,8729,2028,8,89.78,35.085884,-90.480867,96.9207993,21.8948002,10.6639004,0.786096,8,8,6,8,1
