FUNCTIONAL_CLASS_026,Urban,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,ADT_029,YEAR_ADT_030,APPR_WIDTH_MT_032,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,OPERATING_RATING_064,INVENTORY_RATING_066,APPR_ROAD_EVAL_072,TRAFFIC_DIRECTION_102,YEAR_RECONSTRUCTED_106,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,LOWEST_RATING,DECK_AREASQMTS,Latitude,Longitude,PPTIN,TMAXC,TMINC,pc250,scour_critical,waterway_eval,struc_eval,channel_cond,culvert_cond
6,0,1957,2,900,2015,9.4,3,12.8,0,0,71.2,42.7,8,2,0,26,0,1350,2035,5,120.32,32.451422,-87.07234,124.4540024,24.2507,11.6262999,0.110358,8,5,5,4,0
9,0,1950,2,1615,2015,10.7,4,7.6,10.1,10,58.3,35,7,2,0,8,0,2225,2036,7,76.76,33.11,-86.1554,130.3070068,22.9827995,10.0637999,0.127716,8,7,7,6,1
1,0,2002,4,13950,2013,28,3,6.5,0,0,88.9,88.9,9,2,0,24,1,18900,2033,6,182,33.565854,-87.361588,140.9960022,23.3553009,10.3697004,0.182877,8,8,6,7,1
8,0,1963,2,200,2000,7.9,3,9.4,10.1,11,50.9,30.5,7,2,0,6,0,200,2035,6,100.58,31.4,-86.0312,133.878006,25.2474003,12.0262003,0.0551228,8,6,6,6,1
2,0,1939,5,11030,2013,7.3,3,9.5,0,0,79.3,47.6,7,2,1994,6,1,13919,2035,6,69.35,33.28357,-86.07137,133.7160034,22.2233009,10.0261002,0.135111,8,6,6,7,1
9,0,2004,1,50,2012,8.5,6,11,12.7,13,62.5,37.3,8,3,0,0,0,100,2032,9,143,30.4426,-88.3302,143.4920044,24.7124996,14.4167995,0.0553063,8,9,9,9,1
9,0,1983,2,90,2016,6.7,4,15.2,0,0,73.2,43.9,6,2,0,0,0,125,2036,6,101.84,32.315,-85.451055,112.3479996,24.1790009,11.1012001,0.0703929,8,7,6,6,1
7,0,1988,2,602,2018,9.1,4,17.7,0,0,86.5,51.9,6,2,0,25,0,600,2038,7,161.07,31.512196,-86.364122,132.1690063,25.3041,11.4733,0.059726,4,8,7,8,1
9,0,2006,2,7900,2005,11,5,20,11,12,80.4,48.2,8,2,0,0,0,11739,2035,8,232,34.47107,-86.405498,123.2819977,21.8619003,9.7068396,0.174648,8,8,8,8,1
6,0,1989,2,3100,2013,13.4,4,15.2,0,0,57.8,34.7,8,2,0,7,0,4420,2033,7,203.68,31.04162,-85.413426,129.9960022,25.5702,12.8308001,0.048145,8,8,7,6,1
9,0,1995,2,105,1987,7.3,4,11.6,12.3,13,70.3,42.2,7,2,0,10,0,160,2030,7,148.48,34.492797,-87.454891,128.8739929,21.9676991,9.9560003,0.196486,8,7,7,7,1
9,0,1967,2,162,2009,8.5,3,11.4,0,0,36.6,22,7,2,0,11,0,240,2035,7,96.9,32.484256,-85.184151,112.3270035,24.3127995,11.5426998,0.0739794,8,8,6,7,1
7,0,1955,2,1340,2013,12.2,3,6.1,0,0,87.2,52.3,8,2,0,17,0,1791,2039,6,74.42,32.405346,-88.083681,129.9589996,24.2936993,10.9645996,0.134523,8,6,6,6,1
16,1,1974,4,7100,2017,17.7,4,15.2,17.7,21,88.9,67,7,2,0,1,0,9940,2037,8,323.76,34.433,-86.3454,124.6500015,21.7723007,9.87395,0.175868,8,7,8,8,1
14,1,2000,2,9080,2008,11.3,5,19.8,0,0,88.9,59.3,8,2,0,13,0,14880,2034,7,223.74,33.331188,-85.531356,126.913002,22.8586006,9.4168301,0.111173,8,8,7,7,1
19,1,1980,2,1500,2017,9.1,5,17.7,9.1,13,43.8,26.3,7,2,0,1,0,2100,2037,7,226.56,34.43579,-86.36412,124.4789963,21.7301006,9.8200302,0.175173,8,7,6,6,1
9,0,2006,2,766,2001,6.1,5,10.9,8.1,9,73.7,44.2,4,2,0,0,0,1138,2030,8,93.74,34.575352,-87.220698,129.4160004,21.8638992,9.5935802,0.187791,8,6,8,7,1
2,0,1930,4,19872,2017,14,3,9.8,0,0,88.9,88.9,8,2,1957,13,1,29808,2037,5,137.2,31.022908,-88.01273,152.0469971,25.1217995,12.9805002,0.0634436,8,5,5,6,0
7,0,1964,2,200,1991,8.5,3,8.5,0,0,32.7,23.6,5,2,0,1,0,500,2032,7,72.25,32.5948,-87.3624,125.572998,24.0478992,11.1297998,0.137138,8,7,6,7,1
6,0,1988,2,400,2013,12.2,2,10.6,0,0,88.5,53.2,8,2,0,20,0,521,2033,7,129.32,31.18225,-87.395438,155.397995,25.1371994,12.2861996,0.0629955,8,7,7,7,1
